producto,precio,idProducto
Cremigurt Dulce 150G,1.96,130151
Cremigurt Dulce 700G,7.03,130701
Cremigurt Griego 700G,7.94,130703
Cremigurt Griego Durazno 150G,2.19,130153
Cremigurt Griego Fresa 150G,2.19,130152
Cremigurt Griego Fresa 700G,7.94,130702
Cremigurt Griego Natural 150G,2.19,130155
Cremigurt Griego Piña 150G,2.19,130154
Cremigurt Light 700G,7.94,130704
Cremigurt Light Natural 150G,2.19,130156
Cremigurt Liquido Dulce 230G,2.14,140230
Cremigurt Liquido Durazno 230G,2.14,140232
Cremigurt Liquido Fresa 230G,2.14,140231
Cremigurt Natural 150G,1.96,130150
Cremigurt Natural 700G,7.03,130700
Cremigurt Power Cheesecake De Fresa 150G,2.88,130159
Cremigurt Power Cookies And Cream 150G,2.88,130160
Cremigurt Power Mantecado 150G,2.88,130158
Cremigurt Power Mantecado 700G,11.37,130706
Cremigurt Power Natural 150G,2.88,130157
Cremigurt Power Natural 700G,11.37,130705
Cremosillo Coco 150G,3.02,110151
Cremosillo Tradicional  1000G,14.93,111000
Cremosillo Tradicional 150G,2.60,110150
Cremosillo Tradicional 230G,3.89,110230
Cremosillo Tradicional 400G,6.40,110400
Gelatina Saltarina  Fresa 130G,1.09,120130
Gelatina Saltarina Chicle 130G,1.09,120131
Gelatina Saltarina Kolita 130G,1.09,120132
"Tevia Blue Berry 1,5L",4.95,150362
Tevia Blue Berry 360Ml,1.56,150362
"Tevia Durazno 1,5L",4.95,150361
Tevia Durazno 360Ml,1.56,150361
"Tevia Limón 1,5L",4.95,150360
Tevia Limón 360Ml,1.56,150360
"Tevia Tropical Punch 1,5L",4.95,150363
Tevia Tropical Punch 360Ml,1.56,150363
